run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_robot_x,last_robot_y,mission_param_overrides,holonomic_param_overrides,last_log_line
1,True,,,289.854,9.28,289.852,12.446,120.994,222.805,195.203,288.845,5.2033,-0.0778,0.0002,0.0994,,,[python3-22] [INFO] [1779400767.120909397] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
2,True,,,291.981,9.24,291.98,16.905,125.127,225.603,197.946,290.975,5.2031,-0.0351,-0.0011,0.0927,,,[python3-22] [INFO] [1779401059.774966934] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
3,True,,,280.732,9.535,280.731,17.203,113.714,213.904,185.688,279.725,5.2223,-0.1732,-0.0002,0.0982,,,[python3-22] [INFO] [1779401341.476298780] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
4,True,,,282.655,9.435,282.653,13.601,112.831,215.974,186.603,281.648,5.1864,-0.0187,-0.001,0.1001,,,[python3-22] [INFO] [1779401625.139209710] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
5,False,local_target_timeout,"[python3-22] [ERROR] [1779401884.165594121] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.029, yaw=+0.33 deg",247.577,9.337,,17.002,139.453,,211.612,,5.199,0.0129,5.2003,0.0291,,,[python3-23] [INFO] [1779401884.166443925] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
6,True,,,293.527,9.232,293.526,12.397,118.964,226.886,196.455,292.52,5.1962,-0.0311,0.0003,0.0968,,,[python3-22] [INFO] [1779402172.403670692] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
7,True,,,311.838,9.443,311.837,14.11,132.508,244.051,208.243,310.831,5.2132,-0.1616,0.0009,0.0972,,,[python3-22] [INFO] [1779402484.713304423] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
8,True,,,281.635,9.333,281.633,13.093,115.185,215.36,186.59,280.628,5.2208,-0.0441,0.0006,0.0994,,,[python3-22] [INFO] [1779402767.554791470] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
9,True,,,280.591,9.181,280.589,12.348,114.71,212.951,188.499,279.582,5.2085,-0.0318,-0.0009,0.0939,,,[python3-22] [INFO] [1779403049.123255652] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
10,True,,,282.183,9.183,282.182,12.632,115.927,215.549,188.135,281.176,5.1912,-0.0215,-0.0001,0.104,,,[python3-22] [INFO] [1779403332.698544269] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
11,True,,,278.131,9.433,278.129,11.598,109.611,211.197,185.597,277.124,5.1533,-0.0183,-0.0003,0.1054,,,[python3-22] [INFO] [1779403611.394082521] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
12,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.004,9.585,,11.749,114.452,215.891,186.762,281.82,5.1687,-0.5982,0.0011,0.027,,,[python3-23] [INFO] [1779403913.978006695] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
13,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.037,9.535,,14.452,133.088,236.641,207.574,303.118,5.229,-0.7873,0.0009,0.0274,,,[python3-23] [INFO] [1779404355.542661361] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
14,True,,,291.776,9.485,291.774,11.65,118.22,224.642,194.208,290.768,5.1974,-0.0308,0.001,0.1015,,,[python3-22] [INFO] [1779404745.301644056] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
15,True,,,277.183,9.483,277.181,11.648,112.288,210.148,185.659,276.175,5.2095,-0.1142,0.001,0.104,,,[python3-22] [INFO] [1779405023.026550787] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
16,True,,,291.783,9.487,291.782,11.658,122.856,224.591,195.721,290.776,5.1808,-0.1716,-0.0001,0.1072,,,[python3-22] [INFO] [1779405315.434277759] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
17,True,,,294.059,9.484,294.057,12.429,119.446,226.771,198.505,293.052,5.2008,-0.035,0.0002,0.1032,,,[python3-22] [INFO] [1779405609.793560650] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
18,True,,,275.956,9.531,275.955,12.446,108.544,208.828,180.408,274.949,5.1904,-0.0263,-0.0,0.0935,,,[python3-22] [INFO] [1779405886.188781421] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
19,True,,,277.511,9.532,277.509,13.997,109.649,210.179,181.45,276.503,5.1994,-0.0245,0.0002,0.095,,,[python3-22] [INFO] [1779406164.520318367] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
20,True,,,283.205,9.39,283.203,11.64,113.076,215.869,186.142,282.197,5.207,-0.023,-0.0002,0.0937,,,[python3-22] [INFO] [1779406448.550052743] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
21,False,local_target_timeout,"[python3-22] [ERROR] [1779406685.450673931] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.030, yaw=-4.28 deg",225.533,9.434,,12.607,113.987,,189.125,,5.2007,0.012,5.1981,0.0299,,,[python3-23] [INFO] [1779406685.451428658] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
22,True,,,278.681,9.489,278.679,11.655,111.581,211.897,184.141,277.674,5.1886,-0.0221,-0.0001,0.1004,,,[python3-22] [INFO] [1779406954.883848531] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
23,True,,,290.337,9.48,290.335,13.229,115.623,224.406,192.765,289.33,5.1455,-0.1591,-0.0003,0.0933,,,[python3-22] [INFO] [1779407246.112403451] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
24,True,,,280.47,9.487,280.468,13.422,112.041,214.176,184.406,279.463,5.1929,-0.1324,-0.0002,0.1068,,,[python3-22] [INFO] [1779407527.352570769] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
25,False,local_target_timeout,"[python3-22] [ERROR] [1779407760.816316232] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.031, yaw=+5.39 deg",222.775,9.487,,11.651,112.786,,186.165,,5.2037,0.0141,5.2026,0.0307,,,[python3-23] [INFO] [1779407760.817166000] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
26,True,,,275.22,9.433,275.218,12.716,109.121,208.137,180.178,274.213,5.1919,-0.0225,0.0002,0.1075,,,[python3-22] [INFO] [1779408026.858227011] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
27,False,local_target_timeout,"[python3-22] [ERROR] [1779408204.902850771] [nav2_trolley_mission_controller]: Local target 'pickup exit lane' timed out: distance=0.025, yaw=-0.84 deg",167.263,9.384,,17.051,122.11,,,,2.512,1.3087,2.5155,1.3249,,,[python3-23] [INFO] [1779408204.903748410] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
28,False,local_target_timeout,"[python3-22] [ERROR] [1779408422.851393718] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.031, yaw=+5.44 deg",217.188,9.386,,11.551,109.672,,180.525,,5.2036,0.0126,5.2026,0.0307,,,[python3-23] [INFO] [1779408422.852442142] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
29,True,,,291.261,9.486,291.26,14.153,121.532,224.426,199.737,290.254,5.2105,-0.1022,-0.0001,0.1053,,,[python3-22] [INFO] [1779408704.469834293] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
30,True,,,292.796,9.538,292.794,17.204,117.687,225.962,194.224,291.789,5.1948,-0.0243,0.0002,0.0924,,,[python3-22] [INFO] [1779408997.517295828] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
31,False,local_target_timeout,"[python3-22] [ERROR] [1779409229.846244368] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.025, yaw=-4.82 deg",221.043,9.484,,13.779,112.658,,184.778,,5.2037,0.0092,5.1981,0.0252,,,[python3-23] [INFO] [1779409229.847084174] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
32,True,,,276.539,9.532,276.537,14.012,109.511,209.298,184.497,275.532,5.2036,-0.0747,-0.0001,0.0943,,,[python3-22] [INFO] [1779409496.576593356] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
33,True,,,279.061,9.383,279.059,17.05,114.009,211.928,188.033,278.053,5.207,-0.0277,-0.0001,0.0973,,,[python3-22] [INFO] [1779409776.201681101] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
34,True,,,272.62,9.438,272.618,12.603,108.52,206.539,179.584,271.611,5.2014,-0.0294,-0.0005,0.0962,,,[python3-22] [INFO] [1779410049.492180342] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
35,True,,,280.242,9.516,280.24,11.682,109.452,213.256,183.179,279.234,5.1909,-0.0211,-0.0008,0.0927,,,[python3-22] [INFO] [1779410330.097743149] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
36,True,,,302.205,9.387,302.203,17.054,126.141,234.97,202.632,301.198,5.1952,-0.0226,0.0002,0.0954,,,[python3-22] [INFO] [1779410632.941458095] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
37,True,,,281.587,9.388,281.586,17.054,114.466,214.501,186.029,280.58,5.2081,-0.0358,-0.0003,0.0969,,,[python3-22] [INFO] [1779410915.036969336] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
38,True,,,281.727,9.491,281.725,11.655,114.516,215.244,186.678,280.719,5.1878,-0.019,0.0005,0.113,,,[python3-22] [INFO] [1779411197.601325212] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
39,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.001,9.588,,11.752,112.593,214.227,185.255,280.81,5.1316,-0.8426,0.0013,0.0274,,,[python3-23] [INFO] [1779411498.914204898] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
40,True,,,297.781,9.483,297.779,17.15,128.543,230.491,205.743,296.774,5.1973,-0.1081,0.0009,0.0922,,,[python3-22] [INFO] [1779411916.766000408] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
41,False,local_target_timeout,"[python3-22] [ERROR] [1779412158.882495005] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.028, yaw=+6.13 deg",226.427,9.231,,12.189,113.723,,190.212,,5.2023,0.0096,5.2027,0.0277,,,[python3-23] [INFO] [1779412158.883298786] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
42,True,,,278.386,9.432,278.385,13.349,111.317,211.397,182.824,277.379,5.1363,-0.0901,0.0003,0.1043,,,[python3-22] [INFO] [1779412427.452155802] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
43,True,,,280.576,9.385,280.574,13.553,112.722,213.745,185.028,279.569,5.2131,-0.0225,-0.0004,0.108,,,[python3-22] [INFO] [1779412708.611893980] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
44,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.019,9.535,,11.7,107.051,209.647,180.173,275.221,5.2163,-0.7315,0.0013,0.0266,,,[python3-23] [INFO] [1779413005.453262791] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
45,True,,,275.768,9.281,275.766,12.231,109.703,209.031,181.722,274.76,5.1899,-0.0231,0.0005,0.1079,,,[python3-22] [INFO] [1779413406.209320355] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
46,True,,,290.41,9.382,290.408,12.3,116.9,224.321,193.841,289.403,5.198,-0.0199,-0.0003,0.1037,,,[python3-22] [INFO] [1779413697.434283495] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
47,True,,,280.512,9.436,280.51,12.459,111.285,213.271,184.45,279.504,5.2081,-0.0256,0.0001,0.0925,,,[python3-22] [INFO] [1779413978.219131852] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
48,False,local_target_timeout,"[python3-22] [ERROR] [1779414155.833962452] [nav2_trolley_mission_controller]: Local target 'pickup exit lane' timed out: distance=0.026, yaw=+0.31 deg",165.852,9.538,,11.704,120.696,,,,2.5146,1.3058,2.5148,1.3238,,,[python3-23] [INFO] [1779414155.834768709] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
49,True,,,285.027,9.534,285.026,12.449,107.392,218.485,188.458,284.018,5.1896,-0.0165,-0.0001,0.109,,,[python3-22] [INFO] [1779414431.575056229] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
50,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.036,9.434,,13.169,113.447,217.792,188.677,282.713,5.1108,-0.3271,0.0011,0.0266,,,[python3-23] [INFO] [1779414734.569575595] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
