wall_time,run_id,outcome,total_sec,time_to_approach_goal_sent,time_to_side_align_complete,time_to_trolley_type_checked,time_to_under_trolley,time_to_fine_first_aruko,time_to_fine_align_complete,time_to_dropoff_goal_sent,time_to_drive_out_done,commands,manual_marks,dropzone_status_events,physical_status_events,yolo_detection_events,last_trolley_type,last_dropzone_status,last_physical_status,events_csv
2026-06-19_15-28-58-622351,20260619_152531,drive_out_done,207.068,0.011,84.610,94.689,127.112,,135.209,181.171,207.067,trolley_ready|side_align|check_trolley_type|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,14,9,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1297 center_y=+0.0021 yaw=-13.74deg orientation=normal error_x=-0.0028 error_y=-0.0041 yaw_error=-2.74deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-35-41-507775,20260619_153115,drive_out_done,266.224,0.004,36.781,46.736,76.881,,197.181,239.074,266.223,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|fine_align|deliver_trolley|drive_out,3,13,10,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1358 center_y=+0.0121 yaw=-11.24deg orientation=normal error_x=+0.0033 error_y=+0.0059 yaw_error=-0.24deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-39-53-809844,20260619_153917,auto_closed_before_command_trolley_ready,36.429,,,,,,,,,charging,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-42-47-592567,20260619_153953,auto_closed_before_command_trolley_ready,173.781,0.006,45.755,66.096,91.355,,,,,trolley_ready|side_align|check_trolley_type|drive_under,2,6,4,1,trash_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}""",drive_straight_under_done,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-46-20-302860,20260619_154247,drive_out_done,212.709,0.007,31.771,51.341,98.172,,121.370,180.470,212.708,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,1,11,7,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1361 center_y=+0.0136 yaw=-11.33deg orientation=normal error_x=+0.0036 error_y=+0.0074 yaw_error=-0.33deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-49-37-934269,20260619_154915,auto_closed_before_command_trolley_ready,22.580,,,,,,,,,,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-52-15-855518,20260619_154937,auto_closed_before_command_trolley_ready,157.920,0.008,,,,,,,,trolley_ready|side_align|charging|charging,0,3,2,0,,side_alignment_stopped: side_align_left_timeout,side_align_left_timeout,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_15-58-56-392053,20260619_155215,drive_out_done,400.535,0.015,26.207,31.042,55.209,,285.507,378.186,400.534,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|fine_align|fine_align|fine_align|deliver_trolley|drive_out,3,17,16,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1404 center_y=+0.0105 yaw=+168.21deg orientation=flipped_180 error_x=+0.0034 error_y=+0.0067 yaw_error=+3.21deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-01-24-853255,20260619_160055,auto_closed_before_command_trolley_ready,29.793,,,,,,,,,charging,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-04-04-635311,20260619_160124,auto_closed_before_command_trolley_ready,159.781,0.002,,,,,,,,trolley_ready|side_align,0,2,1,0,,side_aligning via side_align_left. Waiting for side_align_left_done.,side_align_left_started,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-08-24-369246,20260619_160404,drive_out_done,259.733,0.005,14.961,20.448,46.757,,149.555,236.404,259.732,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|fine_align|deliver_trolley|drive_out,3,13,10,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1405 center_y=+0.0085 yaw=+163.60deg orientation=flipped_180 error_x=+0.0035 error_y=+0.0047 yaw_error=-1.40deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-10-44-894342,20260619_160939,auto_closed_before_command_trolley_ready,65.246,,,,,,,,,,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-21-19-140396,20260619_161044,drive_out_done,634.245,0.007,33.899,56.684,88.201,,139.696,608.330,634.244,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|fine_align|fine_align|fine_align|fine_align|fine_align|deliver_trolley|drive_out,3,21,22,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1377 center_y=-0.0010 yaw=+165.90deg orientation=flipped_180 error_x=+0.0037 error_y=-0.0048 yaw_error=+0.90deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-23-49-136939,20260619_162253,auto_closed_before_command_trolley_ready,56.120,,,,,,,,,charging,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-28-46-355674,20260619_162349,drive_out_done,297.217,0.002,137.364,150.901,179.681,,213.180,270.367,297.217,trolley_ready|side_align|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,13,9,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1301 center_y=-0.0019 yaw=+167.59deg orientation=flipped_180 error_x=-0.0039 error_y=-0.0057 yaw_error=+2.59deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-31-46-583329,20260619_163114,auto_closed_before_command_trolley_ready,31.984,,,,,,,,,charging|charging,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-34-33-133737,20260619_163146,drive_out_done,166.549,0.007,41.020,49.592,77.217,,106.919,141.280,166.548,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,11,7,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1288 center_y=+0.0001 yaw=-12.38deg orientation=normal error_x=-0.0037 error_y=-0.0061 yaw_error=-1.38deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-37-22-577715,20260619_163616,auto_closed_before_command_trolley_ready,66.148,,,,,,,,,,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-37-38-087660,20260619_163722,auto_closed_before_command_trolley_ready,15.508,0.010,,,,,,,,trolley_ready,0,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-40-28-100248,20260619_163738,auto_closed_before_command_trolley_ready,170.011,0.014,,,,,,,,trolley_ready|charging|charging|charging|charging,1,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
2026-06-19_16-41-56-680231,20260619_164028,logger_shutdown,88.579,,,,,,,,,trolley_ready|side_align,0,1,1,0,,side_aligning via side_align_left. Waiting for side_align_left_done.,side_align_left_started,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_152422.csv
